videoId,sequel,runtime,dateOfRelease
s1039,"Marvel Studios' Avengers: Infinity War, Marvel Studios' Avengers: Endgame",143,2015-01-01
s1040,,183,2019-01-01
s1041,,150,2016-01-01
s1042,"Marvel Studios' Captain America: The Winter Soldier, Marvel Studios' Captain America: Civil War",126,2011-01-01
s1043,Marvel Studios' Captain America: Civil War,138,2014-01-01
s1044,,126,2019-01-01
s1045,,116,2016-01-01
s1046,Marvel Studios' Guardians of the Galaxy Vol. 2,122,2014-01-01
s1047,,137,2017-01-01
s1048,"Marvel Studios' Iron Man 2, Marvel Studios' Iron Man 3",127,2008-01-01
s1049,Marvel Studios' Iron Man 3,125,2010-01-01
s1050,,132,2013-01-01
s1051,"Marvel Studios' Avengers: Age of Ultron, Marvel Studios' Avengers: Infinity War, Marvel Studios' Avengers: Endgame",145,2012-01-01
s1052,"Marvel Studios' Thor: The Dark World, Marvel Studios' Thor: Ragnarok",116,2011-01-01
s1053,Marvel Studios' Thor: Ragnarok,114,2013-01-01
s1035,,80,2018-01-01
s1036,Marvel Studios: Expanding the Universe,43,2014-01-01
s1038,,119,2015-01-01
s492,Marvel Studios' Avengers: Endgame,152,2018-01-01
s610,,137,2018-01-01
s686,,132,2017-01-01
